id,season,year,name,full_name,status,category,prize,country
1761,1982-1983,1983,Northern Ireland Amateur Championship,1983 Northern Ireland Amateur Championship,Amateur,National Championship,0.0,Northern Ireland
1707,1982-1983,1983,Welsh Amateur Championship,1983 Welsh Amateur Championship,Amateur,National Championship,0.0,Wales
2308,1982-1983,1983,Womens World Championship,1983 Womens World Championship,Amateur,World Event,5800.0,England
761,1982-1983,1983,Pot Black,1983 Pot Black,Professional,Invitational,16000.0,England
719,1984-1985,1984,UK Championship,1984 UK Championship,Professional,Ranking,101800.0,England
1139,1984-1985,1984,World Amateur Championship - Men,1984 World Amateur Championship - Men,Amateur,World Event,0.0,Ireland
721,1984-1985,1984,Grand Prix,1984 Grand Prix,Professional,Ranking,225000.0,England
2588,1984-1985,1984,Pontins Autumn Open,1984 Pontins Autumn Open,Pro-am,Event,0.0,Wales
2307,1983-1984,1984,Womens World Championship,1984 Womens World Championship,Amateur,World Event,0.0,England
724,1984-1985,1984,International Open,1984 International Open,Professional,Ranking,147750.0,England
725,1984-1985,1984,Scottish Masters,1984 Scottish Masters,Professional,Invitational,28500.0,Scotland
833,1984-1985,1984,Carlsberg Challenge,1984 Carlsberg Challenge,Professional,Invitational,19500.0,Ireland
737,1984-1985,1984,Hong Kong Masters,1984 Hong Kong Masters,Professional,Non-ranking,0.0,Hong Kong
749,1984-1985,1984,Malaysian Masters,1984 Malaysian Masters,Professional,Invitational,0.0,Malaysia
736,1984-1985,1984,Singapore Masters,1984 Singapore Masters,Professional,Invitational,0.0,Singapore
738,1984-1985,1984,Thailand Masters,1984 Thailand Masters,Professional,Non-ranking,0.0,Thailand
845,1984-1985,1984,Costa Del Sol Classic,1984 Costa Del Sol Classic,Professional,Invitational,2850.0,Spain
726,1984-1985,1984,Australian Professional Championship,1984 Australian Professional Championship,Professional,Non-ranking,7485.0,Australia
742,1984-1985,1984,Australian Masters,1984 Australian Masters,Professional,Invitational,46415.0,Australia
727,1984-1985,1984,Canadian Professional Championship,1984 Canadian Professional Championship,Professional,Non-ranking,0.0,Canada
1006,1984-1985,1984,New Zealand Masters,1984 New Zealand Masters,Professional,Invitational,19934.0,New Zealand
1255,1984-1985,1984,Asian Championship,1984 Asian Championship,Amateur,Continental Event,0.0,Singapore
745,1983-1984,1984,Pontins Professional,1984 Pontins Professional,Professional,Non-ranking,12000.0,Wales
